category,MMSI,Vessel Name,IMO Number,Flag,Call Sign,Port of Registry,Owner Name,Owner Address,Operator Name,Operator Address,Infraction Links
matched_reg_ais,440986000,,,South Korea,,,,,,,
matched_reg_ais,441524000,,,South Korea,,,,,,,
matched_reg_ais,441734000,Adria,8919489,South Korea,,FANO,,,,,
matched_reg_ais,440770000,Agnes,9042025,South Korea,,KR-PUS,"AGNES FISHERIES CO.,LTD","#706 SAEMOONANRO 5-37, JONGNO-GU, SEOUL KOREA",,,
matched_reg_ais,441413000,Agnes 101,9021588,South Korea,,"BUSAN, KOR",,,,,
matched_reg_ais,441298000,Agnes 102,7355167,South Korea,,"BUSAN, KOR",,,,,
matched_reg_ais,441303000,Agnes 103,7380150,South Korea,,"BUSAN, KOR",,,,,
matched_reg_ais,441330000,Agnes 107,8320353,South Korea,,"POHANG, KOR",,,,,
matched_reg_ais,441404000,Agnes 108,8404379,South Korea,,"POHANG, KOR",,,,,
matched_reg_ais,441412000,Agnes 109,7417800,South Korea,,"POHANG, KOR",,,,,
matched_reg_ais,441351000,Agnes 110,9897078,South Korea,,BUSAN,,,,,
matched_reg_ais,441309000,Agnes 3,7927300,South Korea,,,,,,,
matched_reg_ais,440191000,Agnes 5,7237066,South Korea,,,,,,,
matched_reg_ais,440772000,Agnes 82,8714061,South Korea,,KR-PUS,"AGNES FISHERIES CO.,LTD","#706 SAEMOONANRO 5-37, JONGNO-GU, SEOUL KOREA",,,
matched_reg_ais,441043000,Agnes 83,9012331,South Korea,,KR-PUS,"AGNES FISHERIES CO.,LTD","#706 SAEMOONANRO 5-37, JONGNO-GU, SEOUL KOREA",,,
matched_reg_ais,440770000,Agnes 90,9042025,South Korea,,KR-PUS,"AGNES FISHERIES CO.,LTD","#706 SAEMOONANRO 5-37, JONGNO-GU, SEOUL KOREA",,,
matched_reg_ais,440944000,Agnes 95,8510582,South Korea,,,,,,,
matched_reg_ais,440992000,Atun 3,8821553,South Korea,,KR-PUS,"DONGWON INDUSTRIES Co., Ltd","DONGWON INDUSTRIES CO., LTD. /68, Mabang-ro, Seocho-gu, Seoul, Korea",,,
matched_reg_ais,441142000,Bada 103,8703488,South Korea,,"BUSAN, KOR",,,,,
matched_reg_ais,441389000,Blueocean,9262833,South Korea,,"BUSAN, KOREA",,,,,
matched_reg_ais,441446000,Blueocean,9509396,South Korea,,KR-PUS,"DONGWON INDUSTRIES Co., Ltd","68, MABANG-RO, SEOCHO-GU, SEOUL, KOREA","Dongwon Industries Co., Ltd.","68, Mabang-ro, Seocho-gu, Seoul,Republic of Korea",
matched_reg_ais,441489000,Bonami,9848869,South Korea,,KR-PUS,"DONGWON INDUSTRIES CO., LTD","68 MABANG-RO, SEOCHO-GU, SEOUL, KOREA",,,
matched_reg_ais,440570000,Changjin 302,7950747,South Korea,,,,,,,
matched_reg_ais,440821000,Chilsung 1,8717855,South Korea,,KR-PUS,"HANSUNG ENTERPRISE CO.,LTD","63 TAEJONG-RO, YEONGDO-GU, BUSAN, KOREA",,,
matched_reg_ais,440025000,Chungyong 81,8821527,South Korea,,,,,,,
matched_reg_ais,441050000,Cosecha,8217491,South Korea,,,,,,,
matched_reg_ais,441038000,Daeh 306,8709054,South Korea,,KR-PUS,"DAEHAE FISHERIES CO.,LTD","SAEBYEOKSIJANG-GIL 35, SEO-GU, BUSAN, KOREA","Dae Hae Fisheries Co., Ltd","35, SAEBYEOKSIJANG-GIL, SEO-GU, BUSAN, REPUBLIC OF KOREA",
matched_reg_ais,440871000,Daehwa 201,8911293,South Korea,,KR-PUS,"DAEHAE FISHERIES CO.,LTD","SAEBYEOKSIJANG-GIL 35, SEO-GU, BUSAN, KOREA",,,
matched_reg_ais,440966000,Daehwa 202,8911308,South Korea,,KR-PUS,"DAEHAE FISHERIES CO.,LTD","SAEBYEOKSIJANG-GIL 35, SEO-GU, BUSAN, KOREA","Dae Hae Fisheries Co., Ltd","35, SAEBYEOKSIJANG-GIL, SEO-GU, BUSAN, REPUBLIC OF KOREA",
matched_reg_ais,441014000,Daehwa 302,8811120,South Korea,,KR-PUS,"DAEHAE FISHERIES CO.,LTD","SAEBYEOKSIJANG-GIL 35, SEO-GU, BUSAN, KOREA","Dae Hae Fisheries Co., Ltd","35, SAEBYEOKSIJANG-GIL, SEO-GU, BUSAN, REPUBLIC OF KOREA",
matched_reg_ais,440847000,Daehwa 303,8714047,South Korea,,KR-PUS,"DAEHAE FISHERIES CO.,LTD","SAEBYEOKSIJANG-GIL 35, SEO-GU, BUSAN, KOREA","Dae Hae Fisheries Co., Ltd","35, SAEBYEOKSIJANG-GIL, SEO-GU, BUSAN, REPUBLIC OF KOREA",
