"case_name","url","vessel_name"
"Fishing vessel Myungyoonho Fishing vessel Daeyangho collision incident","https://www.kmst.go.kr/web/atch/atchFileDownload.do?atchId=100553&fileSn=1","['Myungyoonho', 'Daeyangho']"
"The grounding incident of the towed vessel Geumoh 7 by the tugboat Woogukti 5","https://www.kmst.go.kr/web/atch/atchFileDownload.do?atchId=100499&fileSn=1","['Geumoh 7', 'Woogukti 5']"
"Fishing vessel No. 26 Namseongho grounding incident","https://www.kmst.go.kr/web/atch/atchFileDownload.do?atchId=100496&fileSn=1","['26 Namseongho']"
"Collision incident between fishing boats Gwangjeong 8 and Gwangjeong 88","https://www.kmst.go.kr/web/atch/atchFileDownload.do?atchId=100493&fileSn=1","['Gwangjeong 8', 'Gwangjeong 88']"
"Fishing vessel Yeonheungho 2007 collision with refrigerated transport vessel Sing Yue","https://www.kmst.go.kr/web/atch/atchFileDownload.do?atchId=100447&fileSn=1","['Yeonheungho 2007', 'Sing']"
"Fishing vessel No. 101 Tongyeongho crew casualty incident","https://www.kmst.go.kr/web/atch/atchFileDownload.do?atchId=100444&fileSn=1","['101 Tongyeongho']"
"Fishing boat Yun Seong-ho and cargo ship JC Ruby collision incident","https://www.kmst.go.kr/web/atch/atchFileDownload.do?atchId=100441&fileSn=1","['Seong-ho', 'cargo']"
"Iron ore carrier Stella Queen guitar (upper deck damage) incident","https://www.kmst.go.kr/web/atch/atchFileDownload.do?atchId=100195&fileSn=1","['Stella']"
"Fishing boat 107th window fire incident","https://www.kmst.go.kr/web/atch/atchFileDownload.do?atchId=100267&fileSn=1","[]"
"Fishing boat Palpalho capsize incident","https://www.kmst.go.kr/web/atch/atchFileDownload.do?atchId=100186&fileSn=1","['Palpalho']"
"Fishing boat Dongjinho crew injury incident","https://www.kmst.go.kr/web/atch/atchFileDownload.do?atchId=100201&fileSn=1","['Dongjinho']"
"Oil and liquid chemical bulk carrier YN Ocean fishing vessel 305 Gwangrimho collision incident","https://www.kmst.go.kr/web/atch/atchFileDownload.do?atchId=100216&fileSn=1","['Oil', 'liquid']"
"The grounding incident of the Caferi passenger ship Seomsarang No. 11","https://www.kmst.go.kr/web/atch/atchFileDownload.do?atchId=100435&fileSn=1","['Seomsarang']"
"Fishing boat Hyundai-ho and fishing boat Pungcha-ho collision incident","https://www.kmst.go.kr/web/atch/atchFileDownload.do?atchId=100432&fileSn=1","['Hyundai-ho', 'fishing']"
"Fishing boat oil tanker fire incident","https://www.kmst.go.kr/web/atch/atchFileDownload.do?atchId=100409&fileSn=1","['oil']"
"The sinking of the ore carrier Sinoglory","https://www.kmst.go.kr/web/atch/atchFileDownload.do?atchId=100430&fileSn=1","['Sinoglory']"
"Fishing vessel 3rd signal. Bulk cargo ship Southern Spirit collision incident","https://www.kmst.go.kr/web/atch/atchFileDownload.do?atchId=100351&fileSn=1","['Southern']"
"Fishing boat Maeilho grounding incident","https://www.kmst.go.kr/web/atch/atchFileDownload.do?atchId=100490&fileSn=1","['Maeilho']"
"Fishing boat 203 Wonchangho and fishing boat 3 Gwangrimho collision incident","https://www.kmst.go.kr/web/atch/atchFileDownload.do?atchId=100400&fileSn=1","['Wonchangho', 'fishing']"
"Fishing boat Hope-ho and motorboat Mongdolbadang collision incident","https://www.kmst.go.kr/web/atch/atchFileDownload.do?atchId=100330&fileSn=1","['Hope-ho']"
"Guitar Line Ppeuriho Capsizing Incident","https://www.kmst.go.kr/web/atch/atchFileDownload.do?atchId=100326&fileSn=1","['Ppeuriho']"
"Container ship Hakata Voyager meteorological buoy contact incident","https://www.kmst.go.kr/web/atch/atchFileDownload.do?atchId=100174&fileSn=1","['Hakata']"
"Fishing boat Cheon Il-ho crew death incident","https://www.kmst.go.kr/web/atch/atchFileDownload.do?atchId=100204&fileSn=1","['Cheon']"
"Fishing vessel No. 809 Joo Young-ho crew member death incident","https://www.kmst.go.kr/web/atch/atchFileDownload.do?atchId=100335&fileSn=1","['809 Joo']"
"Fishing boat Mangeumho fire incident","https://www.kmst.go.kr/web/atch/atchFileDownload.do?atchId=100320&fileSn=1","['Mangeumho']"
"Fishing boat Giheungho grounding incident","https://www.kmst.go.kr/web/atch/atchFileDownload.do?atchId=100255&fileSn=1","['Giheungho']"
"Fishing boat No. 105 Daejinho crew death incident","https://www.kmst.go.kr/web/atch/atchFileDownload.do?atchId=100252&fileSn=1","['105 Daejinho']"
"Fishing boat Pyeongan 2 fire incident","https://www.kmst.go.kr/web/atch/atchFileDownload.do?atchId=100291&fileSn=1","['Pyeongan 2']"
"Fire incident on three fishing boats including Haeanho","https://www.kmst.go.kr/web/atch/atchFileDownload.do?atchId=100289&fileSn=1","['Haeanho']"
"Fishing boat King Monster and fishing boat Haengbok collision incident","https://www.kmst.go.kr/web/atch/atchFileDownload.do?atchId=100450&fileSn=1","['Monster', 'fishing']"
"Fishing boat Changwonho grounding incident","https://www.kmst.go.kr/web/atch/atchFileDownload.do?atchId=100438&fileSn=1","['Changwonho']"
"Fishing boat 85 capsizes in the ocean","https://www.kmst.go.kr/web/atch/atchFileDownload.do?atchId=79110&fileSn=1","['85 capsizes']"
"Death of crew member of fishing boat No. 203 Daeseongho","https://www.kmst.go.kr/web/atch/atchFileDownload.do?atchId=79109&fileSn=1","['203 Daeseongho']"
"Fishing vessel Red Sky grounding incident","https://www.kmst.go.kr/web/atch/atchFileDownload.do?atchId=79104&fileSn=1","['Red']"
"Fishing boat Minseong 1 crew death incident","https://www.kmst.go.kr/web/atch/atchFileDownload.do?atchId=79101&fileSn=1","['Minseong 1']"
"Container ship KMTC Hong Kong explosion incident","https://www.kmst.go.kr/web/atch/atchFileDownload.do?atchId=79098&fileSn=1","['KMTC']"
"Fishing boat Nuriho explosion incident","https://www.kmst.go.kr/web/atch/atchFileDownload.do?atchId=79097&fileSn=1","['Nuriho']"
"Fishing vessel No. 118 Geumseongho crew injury incident","https://www.kmst.go.kr/web/atch/atchFileDownload.do?atchId=79093&fileSn=1","['118 Geumseongho']"
"Fishing boat Dolphin grounding incident","https://www.kmst.go.kr/web/atch/atchFileDownload.do?atchId=79089&fileSn=1","['Dolphin']"
"Death of passenger on the 3rd Seongwon ferry","https://www.kmst.go.kr/web/atch/atchFileDownload.do?atchId=79086&fileSn=1","[]"
